,0
0,3.266362769210939e-05
1,0.0018716008043079251
2,0.00016521490447755476
3,2.127137748468021e-05
4,4.841595340880163e-06
5,0.00037986447319295394
6,1.5021029563934495e-05
7,0.9999867247610543
8,0.01581896233710908
9,8.389879905185484e-08
10,0.0007903643838802801
11,0.0005817417539529709
12,0.0010454674548211326
13,0.009142596452128513
14,3.5781491931612875e-06
15,0.0012428958544652411
16,0.9986260524346331
17,0.0002373542957410812
18,0.0030000924462482105
19,0.8177158674513582
20,0.0002985950196500517
21,0.9999928763748481
22,0.006234896276034128
23,2.0871739354619715e-06
24,0.47644608114523995
25,6.663691573713103e-05
26,0.004588822450242391
27,0.005234229646406078
28,8.524575657832382e-05
29,8.479750167039274e-05
30,3.427443616307491e-07
31,2.8741253023877568e-05
32,1.777489436229596e-06
33,0.0003490365344218307
34,0.9982520058672208
35,2.0456371136829204e-05
36,1.0187290610575632e-05
37,2.096811857184302e-06
38,0.0002664862698603178
39,8.691638041607059e-05
40,1.408568859922226e-06
41,4.400825764396821e-05
42,2.9814562243430566e-06
43,4.403837445815569e-06
44,0.9999892005791133
45,0.0003788133297789411
46,6.21897151952126e-05
47,1.5595152788213443e-05
48,3.578994093630462e-05
49,6.279900546115799e-06
50,7.463502741406057e-07
51,1.0188071452223967e-05
52,2.38768382801294e-06
53,1.3943175807987805e-05
54,0.3539686335563085
55,0.9999640075930477
56,0.00013565683352913943
57,0.006086672779987482
58,0.0012237487874980572
59,0.9987440825696039
60,0.008531538192269398
61,1.1624309421074314e-05
62,0.0003250794674190868
63,0.9994372000604378
64,0.999878294911869
65,0.0024549435201198654
66,0.0009681423819380653
67,0.9993158922423975
68,7.68937799300473e-06
69,8.774834073529262e-05
70,0.8463227966647153
71,3.149507438864758e-05
72,0.0015374689733303193
73,0.0011507092200801106
74,2.38200111150699e-06
75,9.32735764340374e-05
76,0.9996911474619518
77,5.7139580463480555e-05
78,0.0005776425942482338
79,0.8727326045435271
80,0.9995994802645028
81,3.4515734197179247e-05
82,0.9999825481578051
83,9.296807268296354e-05
84,0.00920523151819671
85,0.05148556817337348
86,5.064097186370998e-07
87,0.0002561383663561264
88,0.004779180752210099
89,0.00037801554131045576
90,8.6346038878258e-05
91,0.005540934067682307
92,0.9999488922874359
93,0.00020889256980962165
94,1.5062535314064663e-06
95,0.0003050325449336323
96,0.9974855340907758
97,0.0010397690437205151
98,7.505888940493096e-06
99,0.0005671025161956593
100,0.99954362796409
101,0.00036074836310280204
102,0.0013295877074417657
103,1.7078192043213456e-05
104,4.86392564538762e-06
105,2.5327867126053433e-06
106,0.0003570749224838274
107,0.00016629888793857914
108,0.00013801165474768581
109,0.044093367631288315
110,4.821931890595514e-05
111,3.3677684107347e-05
112,3.125151930575802e-05
113,0.9999542258363802
114,0.000324346380139767
115,5.841717231190274e-05
116,2.0967035376730426e-05
117,0.9999680897324277
118,0.9998784407346261
119,5.603832899650913e-05
120,7.132614900194417e-05
121,1.6733449904438703e-05
122,5.583128600426912e-05
123,0.00018240900987847046
124,0.008997696786598574
125,0.002348374922626417
126,0.00011536139278763713
127,0.0022792631646510178
128,2.5713750830174075e-05
129,3.441037050267683e-05
130,0.9998039770306982
131,0.02895638318236878
132,0.02826692942210628
133,3.019699683017979e-05
134,3.386557825189549e-05
135,0.0010565875750828005
136,4.2050047496067326e-05
137,0.9992823267437437
138,9.996736766823394e-05
139,0.45030813989958146
140,0.994530790835685
141,6.051807028413443e-05
142,5.2256396726831016e-05
143,0.001678248145197823
144,1.7937420291679434e-05
145,1.4379623506523082e-05
146,3.599544681122505e-05
147,0.0019277182976001378
148,0.013445710668192428
149,0.9949129726188742
